283,Shishiro Botan
284,Shirogane Noel
285,Shiranui Flare
286,Shirakami Fubuki
287,Mukuro Ikusaba
288,Sakura Miko
289,Aki Rosenthal
290,Roboco
291,Oozora Subaru
292,Ookami Mio
293,Omaru Polka
294,Ninomae Ina'nis
295,Nekomata Okayu
296,BB
297,Natsuiro Matsuri
298,Meltryllis
299,Passionlip
300,Nakiri Ayame
301,Kingprotea
302,Murasaki Shion
303,Momosuzu Nene
304,Ushiwakamaru
305,Minato Aqua
306,Kiryu Coco
307,Inugami Korone
308,Houshou Marine
309,Hoshimachi Suisei
310,Monkey D. Luffy
311,Ceres Fauna
312,Roronoa Zoro
313,Nero Claudius
314,Sanji
315,Nico Robin
316,Tony Tony Chopper
317,Nami
318,Usopp
319,Brook
320,Franky
321,Jinbe
322,Boa Hancock
323,Trafalgar Law
324,Sabo
325,Portgas D. Ace
326,Edward Newgate
327,Sakura Kinomoto
328,Kaidou
329,Eustass Kid
330,Naruto Uzumaki
331,Sasuke Uchiha
332,Kakashi Hatake
333,Sakura Haruno
334,Mai Sakurajima
335,Hinata Hyuga
336,Shino Aburame
337,Choji Akimichi
338,Deidara
339,Gaara
340,Haku
341,Kisame Hoshigaki
342,Hanabi Hyuga
343,Kiba Inuzuka
344,Jiraiya
345,Kankuro
346,Kurama
347,Rock Lee
348,Might Guy
349,Zabuza Momochi
350,Minato Namikaze
351,Shikamaru Nara
352,Orochimaru
353,Konohamaru Sarutobi
354,Hashirama Senju
355,Tobirama Senju
356,Temari
357,Tenten
358,Tsunade
359,Itachi Uchiha
360,Kabuto Yakushi
361,Ino Yamanaka
362,Madara Uchiha
363,Rin Nohara
364,Obito Uchiha
365,Neji Hyuga
366,Karen Kohiruimaki
367,Lum
368,Ataru Moroboshi
369,Shinobu Miyake
370,Shuutarou Mendou
371,Benten
372,Sakura
373,Sakuranbou
374,Honoka Kousaka
375,Ran
376,Kitsune
377,Satoshi
378,Eli Ayase
379,Reze
380,Kobeni Higashiyama
381,Pochita
382,Angel Devil
383,Himeno
384,Quanxi
385,Kotori Minami
386,Umi Sonoda
387,Rin Hoshizora
388,Maki Nishikino
389,Nozomi Toujou
390,Hanayo Koizumi
391,Nico Yazawa
392,Chika Takami
393,Riko Sakurauchi
394,Kanan Matsuura
395,Dia Kurosawa
396,You Watanabe
397,Yoshiko Tsushima
398,Hanamaru Kunikida
399,Mari Ohara
400,Ruby Kurosawa
401,Lanzhu Zhong
402,Manjiro Sano
403,Ken Ryuguji
404,Takemichi Hanagaki
405,Chifuyu Matsuno
406,Keisuke Baji
407,Takashi Mitsuya
408,Kazutora Hanemiya
409,Hinata Tachibana
410,Mami Sakura
411,Lucifer
412,Beelzebub
413,Mammon
414,Leviathan
415,Satan
416,Asmodeus
417,Belphegor
418,Diavolo
419,Simeon
420,Barbatos
421,Luke
422,Shouyou Hinata
423,Tobio Kageyama
424,Tooru Oikawa
425,Yuu Nishinoya
426,Kenma Kozume
427,Kei Tsukishima
428,Tetsurou Kuroo
429,Koushi Sugawara
430,Ryuunosuke Tanaka
431,Tadashi Yamaguchi
432,Asahi Azumane
433,Daichi Sawamura
434,Kiyoko Shimizu
435,Hitoka Yachi
436,Koutarou Bokuto
437,Keiji Akaashi
438,Xerxes Break
439,Gilbert Nightray
440,Alice
441,Oz Vessalius
442,Sharon Rainsworth
443,Elliot Nightray
444,Jack Vessalius
445,Vincent Nightray
446,Will of the Abyss
447,Shinoa Hiiragi
448,Mikaela Hyakuya
449,Guren Ichinose
450,Yuuichirou Hyakuya
451,Yoichi Saotome
452,Shihou Kimizuki
453,Mitsuba Sanguu
454,Krul Tepes
455,Shinya Hiiragi
456,Asta
457,Noelle Silva
458,Yuno
459,Yami Sukehiro
460,Mereoleona Vermillion
461,Luck Voltia
462,Julius Novachrono
463,Nero
464,Charmy Papittson
465,Zora Ideale
466,Mimosa Vermillion
467,Finral Roulacase
468,Vanessa Enoteca
469,Magna Swing
470,Gordon Agrippa
471,Grey
472,Gauche Adlai
473,Henry Legolant
474,Hirotaka Nifuji
475,Narumi Momose
476,Hanako Koyanagi
477,Tarou Kabakura
478,Meguru Bachira
479,Yoichi Isagi
480,Hyouma Chigiri
481,Rensuke Kunigami
482,Ayumu Uehara
483,Kasumi Nakasu
484,Shizuku Ousaka
485,Karin Asaka
486,Ai Miyashita
487,Setsuna Yuki
488,Emma Verde
489,Rina Tennoji
490,Kanata Konoe
491,Yuu Takasaki
492,Mifune Shioriko
493,Mia Taylor
494,Barghest
495,Melusine
496,Baobhan Sith
497,Son Goku
498,Vegeta
499,Bulma
500,Son Gohan
501,Piccolo
502,Krillin
503,Anya Forger
504,Yor Forger
505,Loid Forger
506,Shibuya Kanon
507,Keke Tang
508,Sumire Heanna
509,Chisato Arashi
510,Ren Hazuki
511,Haruka Kiritani
512,Minori Hanasato
513,Airi Momoi
514,Shizuku Hinomori
515,Ichika Hoshino
516,Saki Tenma
517,Honami Mochizuki
518,Shiho Hinomori
519,Mafuyu Asahina
520,Kanade Yoisaki
521,Mizuki Akiyama
522,Ena Shinonome
523,Tsukasa Tenma
524,Emu Otori
525,Akito Shinonome
526,Nene Kusanagi
527,Rui Kamishiro
528,Kohane Azusawa
529,Toya Aoyagi
530,An Shiraishi
531,Micchon Shikimori
532,Yuu Izumi
533,Izumi Miyamura
534,Hori Kyouko
535,Bell Cranel
536,Hestia
537,Ais Wallenstein
538,Vladilena Milize
539,Shinei Nouzen
540,Anju Emma
541,Theoto Rikka
542,Kurena Kukumila
543,Raiden Shuga
544,Caren Hortensia
545,Ren Amamiya
546,Makoto Niijima
547,Ryuji Sakamoto
548,Yuusuke Kitagawa
549,Ann Takamaki
550,Morgana
551,Gorou Akechi
552,Futaba Sakura
553,Haru Okumura
554,Kasumi Yoshizawa
555,Rem
556,Emilia
557,Subaru Natsuki
558,Ram
559,Echidna
560,Jin-Woo Sung
561,Hae-In Cha
562,Kaguya Shinomiya
563,Miyuki Shirogane
564,Yuu Ishigami
565,Ai Hayasaka
566,Chika Fujiwara
567,Kei Shirogane
568,Solomon
569,Akihito Kanbara
570,Mirai Kuriyama
571,Hiroomi Nase
572,Mitsuki Nase
573,Hachiman Hikigaya
574,Yui Yuigahama
575,Yukino Yukinoshita
576,Eru Chitanda
577,Satoshi Fukube
578,Mayaka Ibara
579,Houtarou Oreki
580,Ryuunosuke Akasaka
581,Nanami Aoyama
582,Misaki Kamiigusa
583,Sorata Kanda
584,Jin Mitaka
585,Mashiro Shiina
586,Taiga Aisaka
587,Ami Kawashima
588,Yuusaku Kitamura
589,Minori Kushieda
590,Ryuuji Takasu
591,Willem Kmetsch
592,Ithea Myse Valgulious
593,Chtholly Nota Seniorious
594,Nephren Ruq Insania
595,Komaru Naegi
596,Monomi
597,Chichi
598,Trunks
599,Future Trunks
600,Frieza
601,Cell
602,Majin Buu
603,Android 17
604,Android 18
605,Broly
606,Edward Elric
607,Alphonse Elric
608,Roy Mustang
609,Maes Hughes
610,Alex Louis Armstrong
611,Olivier Mira Armstrong
612,King Bradley
613,Winry Rockbell
614,Ling Yao
615,Scar
616,Solf J. Kimblee
617,Mei Chang
618,Rintarou Okabe
619,Kurisu Makise
620,Mayuri Shiina
621,Itaru Hashida
622,Suzuha Amane
623,Ruka Urushibara
624,Rumiho Akiha
625,Moeka Kiryuu
626,Kiyotaka Ayanokouji
627,Suzune Horikita
628,Kei Karuizawa
629,Sakura Airi
630,Arisu Sakayanagi
631,Kikyou Kushida
632,Honami Ichinose
633,Stephanie Dola
634,Shiro
635,Sora
636,Izuna Hatsuse
637,Jibril
638,Manabu Horikita
639,Mio Ibuki
640,Kakeru Ryuuen
641,Maya Satou
642,Ichika Amasawa
643,Sae Chabashira
644,Yato
645,Yukine
646,Hiyori Iki
647,Bishamon
648,Kofuku
649,Chizuru Mizuhara
650,Kazuya Kinoshita
651,Mami Nanami
652,Sumi Sakurasawa
653,Ruka Sarashina
654,Senku
655,Gen Asagiri
656,Chrome
657,Taiju Ooki
658,Yuzuriha Ogawa
659,Tsukasa Shishio
660,Suika
661,Carla
662,Natsu Dragneel
663,Gray Fullbuster
664,Happy
665,Lucy Heartfilia
666,Wendy Marvell
667,Erza Scarlet
668,Acnologia
669,Cana Alberona
670,Aquarius
671,Aries
672,Rogue Cheney
673,Gildarts Clive
674,Cobra
675,Flare Corona
676,Laxus Dreyar
677,Makarov Dreyar
678,Sting Eucliffe
679,Jellal Fernandes
680,Frosch
681,Freed Justine
682,Juvia Lockser
683,Lector
684,Loki
685,Levy McGarden
686,Meredy
687,Kagura Mikazuchi
688,Ultear Milkovich
689,Millianna
690,Minerva Orland
691,Pantherlily
692,Plue
693,Gajeel Redfox
694,Elfman Strauss
695,Lisanna Strauss
696,Mirajane Strauss
697,Ichiya Vandalay Kotobuki
698,Lyon Vastia
699,Mavis Vermillion
700,Virgo
701,Zeref
702,Yukino Aguria
703,Hideki Hinata
704,Yuri Nakamura
705,Yuzuru Otonashi
706,Kanade Tachibana
707,Ken Kaneki
708,Touka Kirishima
709,Koutarou Amon
710,Kishou Arima
711,Eto
712,Hinami Fueguchi
713,Rize Kamishiro
714,Ayato Kirishima
715,Hideyoshi Nagachika
716,Nishiki Nishio
717,Juuzou Suzuya
718,Seidou Takizawa
719,Shuu Tsukiyama
720,Uta
721,Mikasa Ackerman
722,Armin Arlert
723,Eren Yeager
724,Sasha Blouse
725,Jean Kirstein
726,Connie Springer
727,Reiner Braun
728,Bertolt Hoover
729,Krista Lenz
730,Ymir
731,Annie Leonhart
732,Levi
733,Erwin Smith
734,Hange Zoe
735,Hannes
736,Hitch Dreyse
737,Marco Bott
738,Moblit Berner
739,Zenitsu Agatsuma
740,Inosuke Hashibira
741,Nezuko Kamado
742,Tanjiro Kamado
743,Gyomei Himejima
744,Obanai Iguro
745,Mitsuri Kanroji
746,Muzan Kibutsuji
747,Enmu
748,Rui
749,Susamaru
750,Hotaru Haganezuka
751,Aoi Kanzaki
752,Kanae Kocho
753,Shinobu Kocho
754,Kanao Tsuyuri
755,Makomo
756,Sabito
757,Kyoujurou Rengoku
758,Genya Shinazugawa
759,Sanemi Shinazugawa
760,Tamayo
761,Muichiro Tokito
762,Giyuu Tomioka
763,Kagaya Ubuyashiki
764,Sakonji Urokodaki
765,Tengen Uzui
766,Yushiro
767,Rias Gremory
768,Akeno Himejima
769,Vanitas
770,Issei Hyoudou
771,Koneko Toujou
772,Asia Argento
773,Ravel Phenex
774,Raynare
775,Miku Nakano
776,Itsuki Nakano
777,Nino Nakano
778,Yotsuba Nakano
779,Ichika Nakano
780,Fuutarou Uesugi
781,Lelouch Lamperouge
782,C.C.
783,Kallen Stadtfeld
784,Suzaku Kururugi
785,Shirley Fenette
786,Cornelia li Britannia
787,Euphemia li Britannia
788,Nunnally Lamperouge
789,Jeremiah Gottwald
790,Gon Freecss
791,Killua Zoldyck
792,Kurapika
793,Leorio Paladiknight
794,Hisoka Morow
795,Chrollo Lucilfer
796,Isaac Netero
797,Feitan Pohtoh
798,Kite
799,Illumi Zoldyck
800,Ging Freecss
801,Machi Komachine
802,Shizuku Murasaki
803,Zeno Zoldyck
804,Neferpitou
805,Shaiapouf
806,Meruem
807,David Martinez
808,Lucy
809,Rebecca
810,Maine
811,Adam Smasher
812,Faraday
813,Gloria Martinez
814,Akame
815,Kurome
816,Esdeath
817,Tatsumi
818,Leone
819,Mine
820,Sheele
821,Bulat
822,Lubbock
823,Chelsea
824,Jonathan Joestar
825,Joseph Joestar
826,Jotaro Kujo
827,Josuke Higashikata
828,Giorno Giovanna
829,Jolyne Kujo
830,Johnny Joestar
831,Dio Brando
832,Yoshikage Kira
833,Enrico Pucci
